label,runs,mean_risk_score,median_risk_score,mean_request_rate,mean_duration,mean_http_requests,mean_burstiness,mean_total_events
bot_fast_path,20,0.712,0.695,4668.389,0.052,4.0,0.285,6.0
human_simulated,20,0.147,0.146,199.68,3.851,12.7,1.252,18.65
